,Field Name,Description,FHIR Resource,Coverage / Claim Type,fhirPath,example,notes,sourceView,sourceColumn,bfdDerived,sources,referenceTable,cclfMapping,ccwMapping,profiles
219,Carrier MTUS Indicator Code,1) CODE INDICATING THE UNITS ASSOCIATED WITH SERVICES NEEDING UNIT REPORTING ON THE LINE ITEM FOR THE CARRIER CLAIM (NON-DMERC). [NCH]    2) PRIOR TO VERSION H THIS FIELD WAS NAMED: CWFB_DME_MTUS_IND_CD. [NCH],ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-MTUS-IND-CD').value.code,3,,V2_MDCR_CLM_LINE_PRFNL,CLM_MTUS_IND_CD,,['NCH'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MTUS-IND-CD,,"['CARR_LINE_MTUS_CD', 'DMERC_LINE_MTUS_CD']",['CMS']
220,Carrier MTUS Count,"(1) THE COUNT OF THE TOTAL UNITS ASSOCIATED WITH SERVICES NEEDING UNIT REPORTING SUCH AS TRANSPORTATION, MILES, ANESTHESIA TIME UNITS, NUMBER OF SERVICES, VOLUME OF OXYGEN OR BLOOD UNITS.  THIS IS A LINE ITEM FIELD ON THE CARRIER CLAIM (NON-DMERC) AND IS USED FOR BOTH ALLOWED AND DENIED SERVICES.  NOTE:  FOR ANESTHESIA (MTUS INDICATOR = 2) THIS FIELD SHOULD BE REPORTED IN TIME UNIT INTERVALS, I.E. 15 MINUTE INTERALS OR FRACTION THEREOF. IT APPEARS THAT SOME CARRIERS ARE REPORTING MINUTES INSTEAD OF TIME UNITS.[NCH]  (2) EFFECTIVE WITH NCH VERSION G, THE COUNT OF THE TOTAL UNITS ASSOCIATED WITH THE DMERC LINE ITEM SERVICE NEEDING UNIT REPORTING, INCLUDING NUMBER OF SERVICES, VOLUME OF OXYGEN AND DRUG DOSE. [NCH]",ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-LINE-PRFNL-MTUS-CNT').value,3.1,"For processing claims, this is not populated. Refer to CLM_LINE.CLM_LINE_SRVC_UNIT_QTY for the line item service unit quantity.",V2_MDCR_CLM_LINE_PRFNL,CLM_LINE_PRFNL_MTUS_CNT,,['NCH'],,,"['CARR_LINE_MTUS_CNT', 'DMERC_LINE_MTUS_CNT']",['CMS']
221,Line Pricing Locality Code,CODE DENOTING THE CARRIER-SPECIFIC LOCALITY USED FOR PRICING THE SERVICE FOR THIS LINE ITEM ON THE CARRIER CLAIM (NON-DMERC). [NCH],ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-PRCNG-LCLTY-CD').value.code,42,,V2_MDCR_CLM_LINE_PRFNL,CLM_PRCNG_LCLTY_CD,,['NCH'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PRCNG-LCLTY-CD,,"['CARR_LINE_PRCNG_LCLTY_CD', 'DMERC_LINE_PRCNG_STATE_CD']","['CMS', 'Basis', 'Regular']"
222,Reduced Payment Physician Assistant Code,"EFFECTIVE 1/92, IDENTIFICATION OF CLAIMS THAT HAVE BEEN PAID A REDUCED FEE SCHEDULE AMOUNT (65%, 75% OR 85%) BECAUSE A PHYSICIANS ASSISTANT PERFORMED THE SERVICES.",ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-PHYSN-ASTNT-CD').value.code,1,,V2_MDCR_CLM_LINE_PRFNL,CLM_PHYSN_ASTNT_CD,,['NCH'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PHYSN-ASTNT-CD,,['CARR_LINE_RDCD_PMT_PHYS_ASTN_C'],['CMS']
223,HPSA Scarcity Code,A CODE USED TO TRACK THE HEALTH PROFESSIONAL SHORTAGE AREA (HPSA) AND PHYSICIAN SCARCITY (PSA) RELATED BONUS PAYMENTS ON PART B PROFESSIONAL CLAIMS.    REFERENCE TABLE: CLM_CARR_HPSA_SCRCTY_CD,ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-LINE-CARR-HPSA-SCRCTY-CD').value.code,1,,V2_MDCR_CLM_LINE_PRFNL,CLM_LINE_CARR_HPSA_SCRCTY_CD,,"['MCS', 'NCH']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-LINE-CARR-HPSA-SCRCTY-CD,['CCLFB.CLM_LINE_CARR_HPSA_SCRCTY_CD'],['HPSA_SCRCTY_IND_CD'],['CMS']
224,Line Primary Payer Code,A CODE IDENTIFYING THE COVERAGE TYPE OF THE PRIMARY PAYER WHEN MEDICARE IS THE SECONDARY PAYER AT THE CLAIM LINE AS DEFINED BY THE COMMON WORKING FILE (CWF).    REFERENCE TABLE: CLM_PRMRY_PYR_CD,ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-PRMRY-PYR-CD').value.code,H,,V2_MDCR_CLM_LINE_PRFNL,CLM_PRMRY_PYR_CD,,['NCH'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PRMRY-PYR-CD,"['CCLF5.CLM_LINE_PRMRY_PYR_CD', 'CCLF6.CLM_PRMRY_PYR_CD']",['LINE_BENE_PRMRY_PYR_CD'],['CMS']
225,CMS Service Type Code,"TYPE OF SERVICE AS DEFINED IN THE HCFA MEDICARE CARRIER MANUAL, FOR THIS LINE ITEM ON THE NON-INSTITUTIONAL CLAIM. (NCH)",ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-FED-TYPE-SRVC-CD').value.code,D,,V2_MDCR_CLM_LINE_PRFNL,CLM_FED_TYPE_SRVC_CD,,"['NCH', 'VMS']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-FED-TYPE-SRVC-CD,"['CCLF5.CLM_FED_TYPE_SRVC_CD', 'CCLF6.CLM_FED_TYPE_SRVC_CD']",['LINE_CMS_TYPE_SRVC_CD'],['CMS']
226,Payment Code,"THE CODE INDICATING THAT THE AMOUNT SHOWN IN THE PAYMENT FIELD ON THE NON-INSTITUTIONAL LINE ITEM REPRESENTS EITHER 80% OR 100% OF THE ALLOWED CHARGES LESS ANY DEDUCTIBLE, OR 100% LIMITATION OF LIABILITY ONLY.",ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-PMT-80-100-CD').value.code,3,,V2_MDCR_CLM_LINE_PRFNL,CLM_PMT_80_100_CD,,"['MCS', 'NCH']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PMT-80-100-CD,,['LINE_PMT_80_100_CD'],['CMS']
227,Processing Indicator Code,"THE CODE INDICATING THE REASON A LINE ITEM ON THE NONINSTITUTIONAL CLAIM WAS ALLOWED OR DENIED.  NOTE2:  EFFECTIVE 4/1/02, THIS FIELD WAS EXPANDED TO TWO BYTES TO ACCOMMODATE NEW VALUES. THE NCH NEARLINE FILE DID NOT EXPAND THE CURRENT 1-BYTE FIELD BUT INSTITUTED A CROSSWALK OF THE 2-BYTE FIELD TO THE 1-BYTE CHARACTER VALUE. SEE TABLE OF CODE FOR THE CROSSWALK. [NCH]",ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-PRCSG-IND-CD').value.code,J,,V2_MDCR_CLM_LINE_PRFNL,CLM_PRCSG_IND_CD,,['NCH'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PRCSG-IND-CD,"['CCLF5.CLM_PRCSG_IND_CD', 'CCLF6.CLM_PRCSG_IND_CD']",['LINE_PRCSG_IND_CD'],['CMS']
228,Service Deductible Code,A VALUE IDENTIFYING WHETHER A SERVICE LINE IS SUBJECT TO THE DEDUCTIBLE.    REFERENCE TABLE: CLM_SRVC_DDCTBL_SW,ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-SRVC-DDCTBL-SW').value.code,0,,V2_MDCR_CLM_LINE_PRFNL,CLM_SRVC_DDCTBL_SW,,"['MCS', 'NCH', 'VMS']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-SRVC-DDCTBL-SW,,['LINE_SERVICE_DEDUCTIBLE'],"['Basis', 'Regular', 'CMS']"
229,Provider Speciality Code,A CODE IDENTIFYING THE CENTERS FOR MEDICARE AND MEDICAID SERVICES (CMS) SPECIALTY OF A PROVIDER OR SUPPLIER.  FOR EXAMPLE:  11 = INTERNAL MEDICINE  49 = AMBULATORY SURGICAL CENTER    REFERENCE TABLE: CLM_PRVDR_SPCLTY_CD,ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.item.extension.where(url='https://bluebutton.cms.gov/fhir/StructureDefinition/CLM-PRVDR-SPCLTY-CD').value.code,11,,V2_MDCR_CLM_LINE_PRFNL,CLM_PRVDR_SPCLTY_CD,,"['MCS', 'NCH']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-PRVDR-SPCLTY-CD,['CCLF5.CLM_PRVDR_SPCLTY_CD'],['PRVDR_SPCLTY'],['CMS']
